iter,gate,n_groups,n_groups_cut,n_zero_variance,n_train_items,loss,grad_norm,rewards_mean,rewards_max,rollout_secs,train_secs,save_secs,iter_secs,cumulative_wall_clock_sec,seed,arm,zv_rate,cut_rate,recall_per_iter,dilution_pct
45,on,10,2,7,96,0.004675109434174374,0.1362401694059372,0.4625,1.0,219.13015460968018,13.009091138839722,0.7418172359466553,232.90560626983643,11522.74196100235,7,gated,0.625,0.2,0.2857142857142857,41.66666666666667
46,on,10,3,6,96,0.010497807146748528,0.25118488073349,0.1875,1.0,238.36141109466553,14.342143058776855,0.8495469093322754,253.5696668624878,11776.311627864838,7,gated,0.42857142857142855,0.3,0.5,25.0
47,on,10,1,4,96,-0.016360221939976327,0.19754667580127716,0.55,1.0,254.84660816192627,10.5579674243927,0.8350412845611572,266.2631061077118,12042.57473397255,7,gated,0.3333333333333333,0.1,0.25,25.0
48,on,10,0,6,96,0.0007074760069372132,0.02976102940738201,0.5875,1.0,271.70643734931946,9.834426164627075,0.8575942516326904,282.42423963546753,12324.998973608017,7,gated,0.6,0.0,0.0,50.0
49,on,10,1,3,96,-0.09178908518515527,0.2591378092765808,0.5,1.0,270.74918603897095,13.979247093200684,0.8677084445953369,285.62121176719666,12610.620185375214,7,gated,0.2222222222222222,0.1,0.3333333333333333,16.666666666666664
50,on,10,0,4,96,-0.008623826404800639,0.12844088673591614,0.55,1.0,268.11131048202515,11.715611457824707,0.8403966426849365,280.6813361644745,12891.301521539688,7,gated,0.4,0.0,0.0,33.33333333333333
51,on,10,2,6,96,0.022310415696836117,0.19839158654212952,0.475,1.0,233.30369353294373,15.062013149261475,0.8446226119995117,249.2364649772644,13140.537986516953,7,gated,0.5,0.2,0.3333333333333333,33.33333333333333
52,on,10,0,2,96,-0.008159924997016788,0.21973125636577606,0.5625,1.0,261.60726499557495,10.48616886138916,0.8424656391143799,272.960960149765,13413.498946666718,7,gated,0.2,0.0,0.0,16.666666666666664
53,on,10,1,6,96,-0.04761791610508226,0.1858452558517456,0.3,1.0,258.30065059661865,13.72990107536316,43.71497654914856,315.77336597442627,13729.272312641144,7,gated,0.5555555555555556,0.1,0.16666666666666666,41.66666666666667
54,on,10,1,4,96,0.009836198412813246,0.14926587045192719,0.6,1.0,232.00669145584106,12.006136655807495,0.8432166576385498,244.87813329696655,13974.15044593811,7,gated,0.3333333333333333,0.1,0.25,25.0
55,on,10,1,3,96,-0.05634564073989168,0.25738444924354553,0.4625,1.0,272.0155715942383,12.50119161605835,0.8400740623474121,285.38347029685974,14259.53391623497,7,gated,0.2222222222222222,0.1,0.3333333333333333,16.666666666666664
56,on,10,1,5,96,0.023337297396210488,0.17291486263275146,0.475,1.0,226.75668621063232,13.27549433708191,0.8639600276947021,240.92111015319824,14500.455026388168,7,gated,0.4444444444444444,0.1,0.2,33.33333333333333
57,on,10,2,4,96,0.01035579728159064,0.1934434473514557,0.3625,1.0,250.7076120376587,13.437989711761475,0.8582992553710938,265.0303385257721,14765.48536491394,7,gated,0.25,0.2,0.5,16.666666666666664
58,on,10,1,8,96,-0.005459322303067893,0.09883742034435272,0.5625,1.0,207.56304788589478,14.109372615814209,0.7382307052612305,222.43161821365356,14987.916983127594,7,gated,0.7777777777777778,0.1,0.125,58.333333333333336
59,on,10,1,3,96,-0.017984501442697365,0.20550502836704254,0.4375,1.0,258.8966693878174,12.736963987350464,0.8537018299102783,272.5140731334686,15260.431056261063,7,gated,0.2222222222222222,0.1,0.3333333333333333,16.666666666666664
60,on,10,1,6,96,0.002988073945743963,0.11856337636709213,0.4875,1.0,237.43379497528076,13.967105865478516,0.8466219902038574,252.27738237380981,15512.708438634872,7,gated,0.5555555555555556,0.1,0.16666666666666666,41.66666666666667
1,on,10,2,6,96,0.019783821393502876,0.19281330704689026,0.3,1.0,255.83509755134583,11.381481647491455,0.8225598335266113,268.05914211273193,268.05914211273193,13,gated,0.5,0.2,0.3333333333333333,33.33333333333333
2,on,10,2,8,96,0.010968024045723723,0.0450483076274395,0.4375,1.0,212.76218557357788,9.309658288955688,0.6921577453613281,222.78391408920288,490.8430562019348,13,gated,0.75,0.2,0.25,50.0
